transaction_id,transaction_date,department,cost_center,transaction_type,vendor_name,amount,payment_mode,invoice_id,employee_id
TX00032,2025-02-28,Operations,CC501,Expense,CareMed,62060.67,Bank Transfer,INV10740,EMP189
TX00033,2025-05-23,Finance,CC301,Expense,Bright Systems,44685.16,Bank Transfer,INV10487,EMP100
TX00034,2025-07-05,IT,CC201,Expense,CareMed,76832.45,Bank Transfer,INV11243,EMP168
TX00035,2025-01-14,HR,CC401,Expense,Bright Systems,71620.9,Card,INV10356,EMP122
TX00036,2025-10-10,IT,CC301,Expense,Bright Systems,67880.68,Card,INV12816,EMP168
TX00037,2025-04-16,Operations,CC101,Revenue,CareMed,150510.74,UPI,INV11636,EMP111
TX00038,2025-03-01,Finance,CC102,Expense,Epsilon Tech,35074.57,UPI,INV11625,EMP133
TX00039,2025-03-09,HR,CC102,Expense,Epsilon Tech,326186.1,Bank Transfer,INV10728,EMP120
TX00040,2025-09-04,Operations,CC401,Revenue,CareMed,97398.78,Bank Transfer,INV10036,EMP111
TX00041,2025-01-23,IT,CC101,Expense,FastLogix,48357.92,Bank Transfer,INV10698,EMP118
TX00042,2025-01-04,HR,CC401,Revenue,Delta Services,96714.53,Card,INV10143,EMP168
TX00043,2025-03-12,Finance,CC301,Expense,Delta Services,56304.46,Cash,INV11062,EMP152
TX00044,2025-10-26,Operations,CC401,Revenue,Epsilon Tech,77126.18,Card,INV11542,EMP145
TX00045,2025-08-10,Finance,CC102,Revenue,Bright Systems,70660.26,Cash,INV11810,EMP160
TX00046,2025-12-22,Sales,CC102,Revenue,FastLogix,91448.41,Bank Transfer,INV10828,EMP138
TX00047,2025-01-03,IT,CC301,Revenue,Delta Services,73769.95,Bank Transfer,INV12719,EMP144
TX00048,2025-05-16,IT,CC201,Revenue,Delta Services,94293.2,Card,INV11396,EMP153
TX00049,2025-06-03,Finance,CC201,Expense,FastLogix,145425.08,Bank Transfer,INV10089,EMP107
TX00050,2025-10-28,Operations,CC301,Expense,Alpha Supplies,27945.46,Card,INV11224,EMP132
TX00051,2025-05-20,IT,CC301,Expense,Epsilon Tech,18711.87,UPI,INV10876,EMP104
TX00052,2025-07-24,Finance,CC501,Revenue,Alpha Supplies,65235.19,Card,INV11633,EMP100
TX00053,2025-05-16,HR,CC101,Expense,Epsilon Tech,107784.81,UPI,INV11168,EMP184
TX00054,2025-09-14,Finance,CC201,Expense,Delta Services,57782.6,Card,INV11823,EMP133
TX00055,2025-12-08,Operations,CC102,Expense,FastLogix,34329.24,UPI,INV10762,EMP156
TX00056,2025-01-16,IT,CC401,Expense,CareMed,79316.97,Bank Transfer,INV10763,EMP137
TX00057,2025-02-02,Operations,CC501,Expense,CareMed,40508.59,Cash,INV11019,EMP129
TX00058,2025-07-10,Sales,CC101,Revenue,Delta Services,115539.06,Bank Transfer,INV12100,EMP165
TX00059,2025-11-11,Sales,CC201,Expense,CareMed,67371.23,Card,INV10359,EMP103
TX00060,2025-08-25,Sales,CC201,Expense,Bright Systems,18008.24,Bank Transfer,INV10681,EMP160
TX00061,2025-06-21,Finance,CC401,Expense,Bright Systems,64394.7,Bank Transfer,INV11753,EMP144
TX00062,2025-11-09,Operations,CC101,Expense,FastLogix,77625.34,Bank Transfer,INV12766,EMP146
TX00063,2025-08-22,Operations,CC301,Expense,Bright Systems,31976.74,Bank Transfer,INV11335,EMP106
TX00064,2025-03-15,Sales,CC301,Expense,Bright Systems,21172.65,Cash,INV12075,EMP173
TX00065,2025-07-25,Finance,CC501,Expense,Delta Services,13883.99,Bank Transfer,INV12072,EMP167
TX00066,2025-10-03,Finance,CC401,Expense,Delta Services,157079.85,Bank Transfer,INV12642,EMP141
TX00067,2025-09-05,HR,CC102,Expense,CareMed,84423.02,UPI,INV11312,EMP152
TX00068,2025-06-21,HR,CC501,Expense,FastLogix,75464.1,UPI,INV11629,EMP150
TX00069,2025-09-02,Sales,CC102,Expense,Delta Services,52395.87,UPI,INV12883,EMP118
TX00070,2025-04-01,HR,CC101,Expense,Alpha Supplies,15690.1,Bank Transfer,INV12892,EMP102
TX00071,2025-01-06,Operations,CC102,Expense,Bright Systems,75474.12,Bank Transfer,INV11619,EMP164
TX00072,2025-05-09,Finance,CC101,Expense,FastLogix,12503.49,UPI,INV10235,EMP149
TX00073,2025-05-24,Sales,CC101,Expense,CareMed,23595.44,Cash,INV12965,EMP159
TX00074,2025-08-11,Finance,CC401,Expense,FastLogix,36134.32,Card,INV12621,EMP103
TX00075,2025-09-13,Operations,CC101,Expense,FastLogix,62785.16,Card,INV11888,EMP122
TX00076,2025-01-25,Finance,CC101,Expense,Bright Systems,79299.94,Bank Transfer,INV11669,EMP166
TX00077,2025-07-19,Operations,CC301,Revenue,Epsilon Tech,116594.84,Cash,INV10950,EMP132
TX00078,2025-04-22,Operations,CC102,Expense,Bright Systems,111186.87,Cash,INV10814,EMP187
TX00079,2025-04-24,IT,CC401,Expense,Delta Services,82270.9,Card,INV10793,EMP142
TX00080,2025-11-05,HR,CC201,Revenue,FastLogix,32482.94,UPI,INV10984,EMP159
TX00081,2025-11-12,HR,CC301,Revenue,Epsilon Tech,58793.83,Card,INV11013,EMP150
TX00082,2025-08-09,Sales,CC101,Expense,Epsilon Tech,63234.76,Bank Transfer,INV12872,EMP100
TX00083,2025-06-23,Sales,CC401,Expense,Epsilon Tech,86864.46,Bank Transfer,INV10574,EMP124
TX00084,2025-10-11,Operations,CC102,Expense,CareMed,32826.36,Bank Transfer,INV10875,EMP150
TX00085,2025-06-24,Finance,CC301,Expense,Alpha Supplies,87278.2,Bank Transfer,INV11492,EMP148
TX00086,2025-07-17,HR,CC101,Expense,FastLogix,11629.56,Card,INV11383,EMP148
TX00087,2025-07-01,IT,CC501,Revenue,CareMed,157023.67,Bank Transfer,INV12065,EMP100
TX00088,2025-03-15,Operations,CC102,Expense,Alpha Supplies,94733.54,Bank Transfer,INV12972,EMP154
TX00089,2025-07-03,Operations,CC102,Revenue,Bright Systems,144150.76,Bank Transfer,INV12007,EMP186
TX00090,2025-11-08,Finance,CC401,Expense,Alpha Supplies,95916.37,Cash,INV12143,EMP187
TX00091,2025-08-14,Sales,CC301,Revenue,FastLogix,53717.9,Bank Transfer,INV12198,EMP184
TX00092,2025-03-16,IT,CC201,Expense,Delta Services,65230.54,Bank Transfer,INV11409,EMP166
TX00093,2025-07-23,HR,CC301,Expense,FastLogix,56118.37,Bank Transfer,INV11076,EMP143
TX00094,2025-03-20,Operations,CC501,Revenue,Alpha Supplies,155276.6,Bank Transfer,INV12573,EMP108
TX00095,2025-08-02,IT,CC101,Expense,FastLogix,24184.52,Cash,INV12657,EMP186
TX00096,2025-05-11,Operations,CC401,Revenue,Alpha Supplies,225096.43,Bank Transfer,INV10341,EMP184
TX00097,2025-11-25,Sales,CC102,Expense,Alpha Supplies,72333.28,Card,INV12969,EMP184
TX00098,2025-12-26,Operations,CC301,Revenue,Alpha Supplies,60052.07,Bank Transfer,INV12723,EMP158
TX00099,2025-07-08,Sales,CC501,Expense,FastLogix,46550.77,Card,INV11762,EMP180
TX00100,2025-11-13,Sales,CC102,Expense,Bright Systems,22047.18,Bank Transfer,INV11040,EMP100
TX00101,2025-09-11,Operations,CC101,Expense,CareMed,39509.48,UPI,INV11040,EMP173
TX00102,2025-09-23,Finance,CC301,Expense,CareMed,31120.52,UPI,INV11750,EMP179
TX00103,2025-06-08,Finance,CC102,Expense,CareMed,76301.79,Card,INV10136,EMP147
TX00104,2025-08-18,Sales,CC401,Expense,FastLogix,52042.77,Card,INV11466,EMP116
TX00105,2025-08-03,HR,CC301,Expense,CareMed,23415.45,Bank Transfer,INV12544,EMP103
TX00106,2025-06-25,IT,CC102,Expense,Epsilon Tech,96213.81,Bank Transfer,INV10310,EMP141
TX00107,2025-02-27,IT,CC401,Expense,CareMed,47289.93,Bank Transfer,INV12424,EMP109
TX00108,2025-09-07,HR,CC401,Revenue,Alpha Supplies,41193.79,Bank Transfer,INV10431,EMP164
TX00109,2025-05-14,Finance,CC101,Expense,Delta Services,25744.28,UPI,INV12108,EMP142
TX00110,2025-12-06,Sales,CC501,Expense,Alpha Supplies,45202.06,UPI,INV11333,EMP173
TX00111,2025-11-02,Finance,CC102,Expense,Bright Systems,49614.41,Bank Transfer,INV11796,EMP153
TX00112,2025-07-17,Finance,CC201,Expense,Alpha Supplies,37839.66,Card,INV12263,EMP102
TX00113,2025-03-06,IT,CC401,Expense,Alpha Supplies,21107.96,UPI,INV11290,EMP155
TX00114,2025-03-27,HR,CC401,Revenue,Alpha Supplies,82390.07,Bank Transfer,INV10037,EMP171
TX00115,2025-11-05,Operations,CC102,Expense,Delta Services,49283.19,Card,INV11889,EMP139
TX00116,2025-11-13,IT,CC101,Revenue,CareMed,64396.76,Bank Transfer,INV12604,EMP188
TX00117,2025-05-10,HR,CC201,Revenue,Epsilon Tech,83896.98,Cash,INV12129,EMP101
TX00118,2025-12-07,Operations,CC401,Expense,Alpha Supplies,52442.92,Bank Transfer,INV12913,EMP159
TX00119,2025-08-13,Sales,CC501,Expense,Bright Systems,91999.33,Bank Transfer,INV12084,EMP121
TX00120,2025-04-20,HR,CC102,Revenue,Alpha Supplies,80915.28,Bank Transfer,INV12257,EMP149
TX00121,2025-12-04,Sales,CC201,Expense,Delta Services,125320.45,Bank Transfer,INV12926,EMP178
TX00122,2025-03-11,Operations,CC102,Expense,Bright Systems,20165.39,Card,INV12931,EMP131
TX00123,2025-02-15,HR,CC501,Expense,CareMed,42962.78,Bank Transfer,INV10988,EMP120
TX00124,2025-05-27,HR,CC501,Revenue,Epsilon Tech,103816.07,Bank Transfer,INV11855,EMP124
TX00125,2025-08-12,Operations,CC301,Expense,Delta Services,56370.96,Cash,INV11709,EMP149
TX00126,2025-04-07,Sales,CC401,Expense,Epsilon Tech,41550.33,UPI,INV12963,EMP145
TX00127,2025-09-14,Finance,CC501,Expense,Delta Services,16219.26,Card,INV12548,EMP101
TX00128,2025-08-08,Sales,CC401,Expense,Epsilon Tech,57914.68,Bank Transfer,INV11389,EMP137
TX00129,2025-11-13,Finance,CC101,Revenue,Alpha Supplies,66958.93,UPI,INV11695,EMP178
TX00130,2025-06-22,HR,CC301,Expense,Bright Systems,54389.41,Bank Transfer,INV12636,EMP125
TX00131,2025-06-07,Operations,CC501,Expense,FastLogix,9522.84,UPI,INV10105,EMP143
TX00132,2025-01-08,Sales,CC401,Revenue,FastLogix,175101.62,UPI,INV11713,EMP161
TX00133,2025-04-15,Sales,CC201,Revenue,Delta Services,115728.94,Bank Transfer,INV10013,EMP174
TX00134,2025-02-22,HR,CC301,Expense,Epsilon Tech,15230.3,Cash,INV12356,EMP154
TX00135,2025-03-12,Operations,CC501,Revenue,FastLogix,70165.68,Bank Transfer,INV10444,EMP153
TX00136,2025-01-07,HR,CC101,Revenue,Bright Systems,28249.67,UPI,INV12199,EMP149
TX00137,2025-01-19,Finance,CC301,Expense,Bright Systems,26076.56,UPI,INV11441,EMP135
TX00138,2025-06-07,Operations,CC201,Expense,FastLogix,19394.7,UPI,INV12914,EMP125
TX00139,2025-08-04,Operations,CC301,Expense,Bright Systems,15350.99,UPI,INV10552,EMP161
TX00140,2025-06-28,IT,CC501,Expense,Alpha Supplies,30533.29,Bank Transfer,INV10027,EMP165
TX00141,2025-03-05,IT,CC101,Revenue,Delta Services,35535.88,Bank Transfer,INV11993,EMP109
TX00142,2025-12-09,Finance,CC401,Expense,CareMed,40430.17,Bank Transfer,INV12933,EMP183
TX00143,2025-12-25,Sales,CC401,Expense,Delta Services,93280.69,Card,INV11742,EMP105
TX00144,2025-12-27,IT,CC301,Expense,Bright Systems,45416.38,Bank Transfer,INV10281,EMP128
TX00145,2025-01-23,Sales,CC501,Expense,CareMed,50348.69,Bank Transfer,INV12740,EMP187
TX00146,2025-11-11,Operations,CC101,Expense,Alpha Supplies,9964.79,Bank Transfer,INV12474,EMP149
TX00147,2025-07-12,HR,CC501,Expense,Bright Systems,68358.69,Bank Transfer,INV11799,EMP128
TX00148,2025-06-05,Operations,CC101,Revenue,Bright Systems,100748.47,Bank Transfer,INV10344,EMP145
TX00149,2025-04-01,Finance,CC201,Revenue,FastLogix,59467.37,UPI,INV10574,EMP172
TX00150,2025-01-09,Finance,CC401,Revenue,Epsilon Tech,106918.32,UPI,INV10018,EMP169
TX00151,2025-02-18,IT,CC101,Expense,Epsilon Tech,28418.35,Bank Transfer,INV10821,EMP170
TX00152,2025-09-21,Finance,CC301,Expense,Epsilon Tech,471480.78,Card,INV12338,EMP143
TX00153,2025-06-26,Sales,CC201,Expense,FastLogix,8416.4,Card,INV11026,EMP184
TX00154,2025-10-08,Operations,CC501,Revenue,Epsilon Tech,36127.13,Card,INV12830,EMP142
TX00155,2025-07-06,Operations,CC301,Revenue,Epsilon Tech,166311.45,UPI,INV11827,EMP174
TX00156,2025-03-15,HR,CC401,Expense,CareMed,47016.62,Bank Transfer,INV11692,EMP127
TX00157,2025-03-08,Operations,CC301,Revenue,Bright Systems,52219.09,Card,INV11062,EMP112
TX00158,2025-07-24,Finance,CC102,Expense,Delta Services,41695.29,Bank Transfer,INV11845,EMP100
TX00159,2025-12-24,IT,CC102,Expense,Epsilon Tech,92898.72,Bank Transfer,INV10520,EMP114
TX00160,2025-10-24,Operations,CC101,Revenue,Alpha Supplies,61397.16,Bank Transfer,INV12904,EMP117
TX00161,2025-03-04,Operations,CC101,Expense,Epsilon Tech,79403.24,Cash,INV11249,EMP132
TX00162,2025-07-21,Finance,CC501,Expense,CareMed,82272.11,Bank Transfer,INV12556,EMP156
TX00163,2025-09-02,Sales,CC401,Expense,Bright Systems,146704.02,Cash,INV12506,EMP123
TX00164,2025-12-14,Sales,CC301,Revenue,Bright Systems,104244.81,Card,INV10072,EMP107
TX00165,2025-01-27,Finance,CC301,Expense,Delta Services,55205.03,Card,INV12428,EMP157
TX00166,2025-03-22,Operations,CC301,Expense,Alpha Supplies,10457.92,Bank Transfer,INV12500,EMP176
TX00167,2025-09-23,Operations,CC501,Expense,Delta Services,31785.09,Card,INV12562,EMP115
TX00168,2025-07-28,Sales,CC501,Revenue,Delta Services,46741.58,Cash,INV10799,EMP132
TX00169,2025-05-16,HR,CC501,Expense,Epsilon Tech,28405.17,UPI,INV12496,EMP174
TX00170,2025-03-20,Operations,CC301,Revenue,FastLogix,104230.97,Bank Transfer,INV10560,EMP141
TX00171,2025-06-18,IT,CC201,Expense,Bright Systems,47954.44,UPI,INV10947,EMP113
TX00172,2025-09-15,IT,CC201,Expense,Bright Systems,72127.93,Card,INV11312,EMP135
TX00173,2025-01-14,IT,CC301,Expense,Alpha Supplies,51621.33,Card,INV12529,EMP107
TX00174,2025-05-02,HR,CC101,Expense,Epsilon Tech,64525.32,Bank Transfer,INV10845,EMP119
TX00175,2025-02-28,IT,CC201,Expense,Delta Services,49604.48,Bank Transfer,INV11540,EMP182
TX00176,2025-02-10,Finance,CC102,Expense,Bright Systems,52503.87,Bank Transfer,INV11122,EMP120
TX00177,2025-09-28,Sales,CC301,Expense,Delta Services,38757.86,UPI,INV11382,EMP151
TX00178,2025-04-04,HR,CC501,Expense,Epsilon Tech,44320.89,Bank Transfer,INV12139,EMP185
TX00179,2025-07-05,IT,CC501,Revenue,Bright Systems,174093.59,Card,INV11911,EMP138
TX00180,2025-05-01,IT,CC401,Revenue,Epsilon Tech,51837.8,Cash,INV12355,EMP154
TX00181,2025-05-26,HR,CC102,Expense,Delta Services,47096.31,UPI,INV11459,EMP128
TX00182,2025-06-10,IT,CC102,Revenue,Alpha Supplies,60948.43,Bank Transfer,INV11120,EMP109
TX00183,2025-02-26,HR,CC401,Revenue,Bright Systems,22237.1,Card,INV12514,EMP168
TX00184,2025-12-01,IT,CC401,Expense,CareMed,87831.49,Bank Transfer,INV10147,EMP120
TX00185,2025-08-26,HR,CC201,Revenue,CareMed,71710.68,Card,INV12567,EMP163
TX00186,2025-10-06,HR,CC101,Expense,Alpha Supplies,36289.7,Card,INV10962,EMP148
TX00187,2025-04-04,Finance,CC101,Revenue,FastLogix,128640.94,Bank Transfer,INV10780,EMP152
TX00188,2025-12-02,Sales,CC102,Expense,Bright Systems,32553.87,Bank Transfer,INV12837,EMP129
TX00189,2025-04-21,HR,CC201,Revenue,Epsilon Tech,107009.97,UPI,INV12196,EMP112
TX00190,2025-05-08,HR,CC201,Expense,FastLogix,56247.67,UPI,INV10769,EMP128
TX00191,2025-05-15,HR,CC201,Revenue,CareMed,53624.31,Cash,INV10514,EMP162
TX00192,2025-06-19,IT,CC501,Revenue,Alpha Supplies,116511.07,Bank Transfer,INV11284,EMP102
TX00193,2025-01-04,Sales,CC102,Expense,Alpha Supplies,115717.53,Bank Transfer,INV12984,EMP112
TX00194,2025-09-20,HR,CC501,Revenue,Bright Systems,58992.58,Bank Transfer,INV12634,EMP115
TX00195,2025-03-23,Sales,CC401,Expense,Epsilon Tech,418129.86,Cash,INV11013,EMP125
TX00196,2025-05-06,IT,CC501,Expense,Epsilon Tech,36776.32,UPI,INV10525,EMP102
TX00197,2025-08-05,Operations,CC301,Expense,FastLogix,20985.62,Card,INV11938,EMP130
TX00198,2025-12-28,Sales,CC101,Expense,CareMed,43169.38,Cash,INV12974,EMP163
TX00199,2025-03-16,IT,CC301,Expense,Alpha Supplies,35872.36,Bank Transfer,INV11651,EMP146
TX00200,2025-11-25,HR,CC501,Expense,Alpha Supplies,46163.62,Card,INV11582,EMP177
TX00201,2025-12-11,Finance,CC102,Expense,Alpha Supplies,150471.29,UPI,INV11794,EMP176
TX00202,2025-11-17,IT,CC501,Expense,Epsilon Tech,36893.92,Card,INV12003,EMP148
TX00203,2025-05-10,IT,CC301,Expense,Delta Services,65279.78,UPI,INV12978,EMP100
TX00204,2025-08-25,HR,CC501,Expense,FastLogix,24227.95,Card,INV10547,EMP184
TX00205,2025-08-12,Operations,CC501,Expense,CareMed,57428.53,Cash,INV10905,EMP179
TX00206,2025-06-10,Finance,CC401,Expense,Alpha Supplies,34137.64,UPI,INV11464,EMP120
TX00207,2025-04-18,Finance,CC201,Expense,Bright Systems,47589.09,Card,INV11495,EMP114
TX00208,2025-07-21,Operations,CC102,Expense,FastLogix,75336.22,Card,INV11938,EMP188
TX00209,2025-05-12,Finance,CC401,Expense,Bright Systems,19765.43,Bank Transfer,INV12374,EMP185
TX00210,2025-07-01,Finance,CC401,Expense,Delta Services,39826.43,Card,INV10965,EMP169
TX00211,2025-02-01,Operations,CC401,Expense,FastLogix,52617.79,Card,INV10097,EMP115
TX00212,2025-03-07,HR,CC501,Revenue,Bright Systems,89928.86,Cash,INV10883,EMP185
TX00213,2025-08-08,IT,CC501,Expense,FastLogix,39923.31,Cash,INV10446,EMP165
TX00214,2025-09-24,Sales,CC301,Expense,Delta Services,15153.74,Bank Transfer,INV11814,EMP188
TX00215,2025-11-18,Sales,CC201,Expense,CareMed,51407.03,Cash,INV12211,EMP184
TX00216,2025-08-23,Finance,CC501,Expense,Bright Systems,16920.64,Card,INV12433,EMP106
TX00217,2025-03-13,Sales,CC201,Expense,FastLogix,38816.78,UPI,INV11915,EMP147
TX00218,2025-11-05,HR,CC501,Expense,FastLogix,37085.95,Bank Transfer,INV11930,EMP145
TX00219,2025-07-16,Finance,CC401,Revenue,Epsilon Tech,56286.63,Bank Transfer,INV12243,EMP124
TX00220,2025-04-02,Operations,CC501,Expense,CareMed,59498.63,UPI,INV11395,EMP149
TX00221,2025-06-19,HR,CC301,Revenue,Bright Systems,169475.26,UPI,INV10475,EMP129
TX00222,2025-10-16,IT,CC301,Revenue,FastLogix,194804.74,Bank Transfer,INV11098,EMP156
TX00223,2025-07-16,Finance,CC401,Revenue,FastLogix,98309.68,Bank Transfer,INV10935,EMP127
TX00224,2025-07-06,Finance,CC301,Expense,CareMed,51811.44,Bank Transfer,INV12274,EMP156
TX00225,2025-05-21,HR,CC501,Revenue,Alpha Supplies,125532.55,UPI,INV12266,EMP122
TX00226,2025-11-27,Operations,CC501,Expense,Delta Services,88564.86,Bank Transfer,INV11682,EMP129
TX00227,2025-11-20,Finance,CC101,Expense,FastLogix,41769.52,Bank Transfer,INV12994,EMP102
TX00228,2025-10-19,Finance,CC301,Expense,FastLogix,61492.46,Bank Transfer,INV11398,EMP118
TX00229,2025-04-14,IT,CC401,Expense,Alpha Supplies,11175.29,Bank Transfer,INV12381,EMP140
TX00230,2025-04-27,HR,CC301,Revenue,Alpha Supplies,121124.41,Bank Transfer,INV12315,EMP134
TX00231,2025-11-14,Operations,CC401,Expense,Epsilon Tech,149342.2,Bank Transfer,INV12044,EMP172
TX00232,2025-09-04,Sales,CC101,Expense,Alpha Supplies,22024.31,Bank Transfer,INV10405,EMP120
TX00233,2025-03-06,HR,CC101,Revenue,Delta Services,75375.32,UPI,INV11515,EMP165
TX00234,2025-08-02,Sales,CC101,Expense,FastLogix,34690.46,Bank Transfer,INV11936,EMP160
TX00235,2025-12-06,Operations,CC201,Expense,Delta Services,5623.73,Card,INV10141,EMP134
TX00236,2025-04-24,Finance,CC401,Expense,Alpha Supplies,15565.12,Bank Transfer,INV10554,EMP119
TX00237,2025-12-01,Operations,CC401,Expense,FastLogix,34552.02,UPI,INV10816,EMP140
TX00238,2025-01-24,IT,CC201,Revenue,Alpha Supplies,78320.38,UPI,INV10000,EMP139
TX00239,2025-12-19,HR,CC401,Revenue,Delta Services,151809.52,Cash,INV10858,EMP145
TX00240,2025-07-13,Finance,CC301,Expense,Bright Systems,24591.82,UPI,INV10419,EMP181
TX00241,2025-05-19,HR,CC301,Revenue,Delta Services,63938.23,Card,INV12497,EMP150
TX00242,2025-11-13,Operations,CC501,Expense,FastLogix,62536.68,Card,INV10386,EMP115
TX00243,2025-08-02,Finance,CC101,Expense,CareMed,22829.97,Bank Transfer,INV11998,EMP189
TX00244,2025-05-21,Finance,CC101,Revenue,Alpha Supplies,64025.41,Cash,INV12120,EMP152
TX00245,2025-06-26,HR,CC301,Revenue,CareMed,40244.05,UPI,INV12719,EMP156
TX00246,2025-06-04,HR,CC101,Expense,Bright Systems,40934.05,UPI,INV12606,EMP119
TX00247,2025-03-10,HR,CC102,Expense,CareMed,20420.54,Cash,INV12442,EMP148
TX00248,2025-01-06,IT,CC102,Revenue,Delta Services,98626.83,Bank Transfer,INV10442,EMP166
TX00249,2025-11-13,HR,CC102,Expense,FastLogix,43765.22,Bank Transfer,INV12172,EMP114
TX00250,2025-05-10,IT,CC102,Expense,Bright Systems,73061.98,Card,INV12693,EMP167
TX00251,2025-02-28,Finance,CC101,Expense,CareMed,44914.55,Bank Transfer,INV10067,EMP168
TX00252,2025-05-09,Finance,CC401,Expense,FastLogix,62399.48,UPI,INV12946,EMP141
TX00253,2025-02-13,Sales,CC102,Expense,FastLogix,22124.78,Card,INV11627,EMP162
TX00254,2025-08-03,IT,CC102,Expense,CareMed,73446.55,Cash,INV12151,EMP185
TX00255,2025-09-24,Operations,CC201,Expense,Epsilon Tech,50535.47,UPI,INV12046,EMP163
TX00256,2025-11-21,Operations,CC201,Expense,Delta Services,45554.48,Cash,INV11510,EMP104
TX00257,2025-01-24,HR,CC101,Revenue,Delta Services,93055.95,Bank Transfer,INV11251,EMP174
TX00258,2025-01-24,Sales,CC201,Revenue,CareMed,102774.09,UPI,INV12046,EMP103
TX00259,2025-07-13,Sales,CC101,Expense,Epsilon Tech,91069.03,Bank Transfer,INV11346,EMP158
TX00260,2025-05-13,IT,CC102,Expense,Epsilon Tech,42237.6,UPI,INV12953,EMP141
TX00261,2025-05-16,HR,CC102,Expense,CareMed,81820.21,Bank Transfer,INV11088,EMP135
TX00262,2025-09-05,Finance,CC401,Expense,Epsilon Tech,64716.25,UPI,INV10256,EMP135
TX00263,2025-03-02,Finance,CC102,Expense,Delta Services,30763.43,Bank Transfer,INV10187,EMP176
TX00264,2025-02-13,IT,CC201,Expense,Bright Systems,43876.12,Card,INV12369,EMP165
TX00265,2025-10-13,HR,CC102,Expense,FastLogix,35485.35,Card,INV12368,EMP116
TX00266,2025-09-21,IT,CC401,Expense,CareMed,30273.22,Bank Transfer,INV12384,EMP154
TX00267,2025-07-10,Operations,CC301,Expense,Delta Services,61617.99,Bank Transfer,INV10052,EMP123
TX00268,2025-06-04,IT,CC201,Revenue,Bright Systems,120954.92,Bank Transfer,INV11464,EMP125
TX00269,2025-02-22,Finance,CC102,Expense,FastLogix,76052.04,Cash,INV11180,EMP127
TX00270,2025-11-25,Finance,CC201,Expense,CareMed,54365.98,UPI,INV11106,EMP148
