year_month,department,transaction_type,amount,previous_month_amount,variance,variance_pct
2025-04,IT,Revenue,387298.54,467707.63,-80409.09000000003,-17.192169817712834
2025-05,IT,Revenue,559952.7,387298.54,172654.15999999997,44.57908878251903
2025-06,IT,Revenue,685535.75,559952.7,125583.05000000005,22.427438960469352
2025-07,IT,Revenue,1039352.74,685535.75,353816.99,51.611748913167546
2025-08,IT,Revenue,672708.1799999999,1039352.74,-366644.56000000006,-35.276239325640304
2025-09,IT,Revenue,418640.6,672708.1799999999,-254067.57999999996,-37.76787432553592
2025-10,IT,Revenue,556676.0,418640.6,138035.40000000002,32.97229174618994
2025-11,IT,Revenue,686080.5,556676.0,129404.5,23.245927613189718
2025-12,IT,Revenue,1057197.69,686080.5,371117.18999999994,54.09236816962441
2025-01,Operations,Expense,543897.98,,,
2025-02,Operations,Expense,1124926.48,543897.98,581028.5,106.8267435006837
2025-03,Operations,Expense,856325.76,1124926.48,-268600.72,-23.877179955795867
2025-04,Operations,Expense,566848.55,856325.76,-289477.20999999996,-33.804566383708924
2025-05,Operations,Expense,546008.47,566848.55,-20840.080000000075,-3.6764811341583346
2025-06,Operations,Expense,659543.53,546008.47,113535.06000000006,20.79364446489265
2025-07,Operations,Expense,1623376.76,659543.53,963833.23,146.1364089190595
2025-08,Operations,Expense,1026986.26,1623376.76,-596390.5,-36.73765170815923
2025-09,Operations,Expense,768666.28,1026986.26,-258319.97999999998,-25.15320701564206
2025-10,Operations,Expense,589384.17,768666.28,-179282.11,-23.323790136858868
2025-11,Operations,Expense,1449332.31,589384.17,859948.14,145.90621597454847
2025-12,Operations,Expense,680874.35,1449332.31,-768457.9600000001,-53.02151581785961
2025-01,Operations,Revenue,924147.6699999999,,,
2025-02,Operations,Revenue,272612.17,924147.6699999999,-651535.5,-70.50123277376224
2025-03,Operations,Revenue,798497.97,272612.17,525885.8,192.90620811242582
2025-04,Operations,Revenue,717256.08,798497.97,-81241.89000000001,-10.174338952921824
2025-05,Operations,Revenue,793879.81,717256.08,76623.7300000001,10.682897243617663
2025-06,Operations,Revenue,353655.7,793879.81,-440224.11000000004,-55.452236529355744
2025-07,Operations,Revenue,1226616.25,353655.7,872960.55,246.83910085430546
2025-08,Operations,Revenue,100490.97,1226616.25,-1126125.28,-91.80746464103994
2025-09,Operations,Revenue,560891.91,100490.97,460400.94000000006,458.1515533186714
2025-10,Operations,Revenue,940549.9299999999,560891.91,379658.0199999999,67.68826813708186
2025-11,Operations,Revenue,308985.61,940549.9299999999,-631564.32,-67.14840965433913
2025-12,Operations,Revenue,60052.07,308985.61,-248933.53999999998,-80.56476804858323
2025-01,Sales,Expense,581479.62,,,
2025-02,Sales,Expense,400134.38,581479.62,-181345.24,-31.186860856791505
2025-03,Sales,Expense,855602.35,400134.38,455467.97,113.828751730856
2025-04,Sales,Expense,288185.49,855602.35,-567416.86,-66.31782392837047
2025-05,Sales,Expense,443334.32,288185.49,155148.83000000002,53.83644749081573
2025-06,Sales,Expense,886980.48,443334.32,443646.16,100.07033969307857
2025-07,Sales,Expense,1126763.14,886980.48,239782.65999999992,27.033589284850994
2025-08,Sales,Expense,974665.13,1126763.14,-152098.0099999999,-13.498667519422042
2025-09,Sales,Expense,1004626.63,974665.13,29961.5,3.0740301543361874
2025-10,Sales,Expense,563135.64,1004626.63,-441490.99,-43.94577814446348
2025-11,Sales,Expense,399795.88,563135.64,-163339.76,-29.005402677053084
2025-12,Sales,Expense,1032467.24,399795.88,632671.36,158.24859425764967
2025-01,Sales,Revenue,595334.0,,,
2025-02,Sales,Revenue,353117.23,595334.0,-242216.77000000002,-40.68586205390588
2025-03,Sales,Revenue,545975.87,353117.23,192858.64,54.61603785235856
2025-04,Sales,Revenue,598501.27,545975.87,52525.40000000002,9.62046179806445
2025-05,Sales,Revenue,728592.92,598501.27,130091.65000000002,21.73623624892225
2025-06,Sales,Revenue,460944.65,728592.92,-267648.27,-36.734953449726085
2025-07,Sales,Revenue,1141793.6,460944.65,680848.9500000001,147.70731149607658
2025-08,Sales,Revenue,272929.38,1141793.6,-868864.2200000001,-76.09643459203134
2025-09,Sales,Revenue,247423.71,272929.38,-25505.670000000013,-9.345153680413597
2025-10,Sales,Revenue,756070.9299999999,247423.71,508647.22,205.57739595772776
2025-11,Sales,Revenue,698886.0599999999,756070.9299999999,-57184.869999999995,-7.563426621891149
2025-12,Sales,Revenue,714064.31,698886.0599999999,15178.250000000116,2.171777471137444
